Reason:                  Needs:          Wants:        Savings:
NEEDS                    110.99               0               0
WANTS                         0          111.13               0
SAVINGS                       0               0          541.39
CHICKFILA                     0           -9.68               0
HOTPOT                        0          -49.66               0
SCHOOLSUPPLIES                0          -21.67               0
PANDAEXPRESS                  0          -10.17               0
ACNECREAM                     0          -11.88               0
BOOKFORSCHOOL             -6.99               0               0
HAIRCUT                       0               0           -40.0
GAS1/11                   -41.9               0               0
BOCA-INCOME                 100             100          386.89
STARBUCKS                     0            -7.0               0
PIZZA                         0           -6.41               0
CHICKFILA                     0           -9.68               0
CHEGG                    -15.95               0               0
KFC                           0          -12.86               0
DOMINOS                       0           -8.87               0
MCDONALDS                     0          -31.09               0
AIRPORTWATER                  0          -10.58               0
CYCLE1-INCOME             31.52               0               0
BAR                           0               0           -58.5
BOCA-INCOME                 100             100           74.29
SUSHI                         0          -50.24               0
GAS1/30                   -36.3               0               0
COLLEGE                       0               0         1561.62
GAS2/2                    -40.8               0               0
FOODTRUCK                     0          -20.92               0
CYCLE2-INCOME             62.85             150           93.85
DUNKIN                        0           -7.89               0
CANDY                         0           -1.71               0
GAS2/11/2023             -43.49               0               0
PORTABLE                      0               0          -37.63
BOCA-INCOME                 100             100          339.65
TACOBELL                      0          -18.91               0
DYANA                         0           -45.0               0
HAIRCUT                       0               0           -40.0
TOOTHBRUSH                    0               0          -53.49
LASTBESTBUY                   0               0          299.56
FOODI                         0           -7.68               0
GAS2/16                   -48.4               0               0
PIZZA                         0          -11.22               0
CRAZYMIKES                    0           -22.0               0
LABAMBA                       0               0          -48.26
BOCA-INCOME                 100             100          248.83
CHICKENWINGS                  0           -17.0               0
BELT                          0               0          -18.09
GAS3/1/23                -37.62               0               0
SAVINGSLEFTOVER               0               0         7353.65
RENT                          0               0          -800.0
COMIDAMEXICANA                0          -22.09               0
BOBA                          0           -6.92               0
CESI1                         0               0          124.67
BOCALAST                 227.52               0               0
RING                          0          -12.67               0
PROTEIN                       0               0          -65.21
GAS3/10                  -35.36               0               0
RENFAIR                       0          -33.98               0
BAKETATA                      0           -16.0               0
NEEDS-NOCAR              -36.97               0               0
